Id,Time,DB_Reg_E111TIC11_PV,DB_Reg_E111TIC11_SP,DB_Reg_E111TIC12_OP,DB_Reg_E111TIC12_PV
361,2024-01-29 14:42:28,13.69253,65.09122,0.0,7.004195
362,2024-01-29 14:42:34,13.51046,65.09172,0.0,6.985093
363,2024-01-29 14:42:39,13.3944,65.0917,0.0,6.810008
364,2024-01-29 14:42:44,13.0615,65.09433,0.0,6.780375
365,2024-01-29 14:42:49,12.81295,65.0941,0.0,6.646786
366,2024-01-29 14:42:54,12.46897,65.08873,0.0,6.601563
367,2024-01-29 14:42:59,11.88147,65.09261,0.0,6.530245
368,2024-01-29 14:43:04,11.64865,65.09557,0.0,6.597659
369,2024-01-29 14:43:09,11.46288,65.09195,0.0,6.511003
370,2024-01-29 14:43:14,11.18327,65.09334,0.0,6.586986
371,2024-01-29 14:43:19,10.96096,65.09123,0.0,6.599565
372,2024-01-29 14:43:24,10.64746,65.09605,0.0,6.651264
373,2024-01-29 14:43:29,10.50662,65.09859,0.0,6.6984
374,2024-01-29 14:43:34,10.37231,65.0998,0.0,6.785994
375,2024-01-29 14:43:39,10.22711,65.09854,0.0,6.799534
376,2024-01-29 14:43:45,10.1089,65.09072,0.0,6.706982
377,2024-01-29 14:43:50,10.00472,65.09123,0.0,6.629253
378,2024-01-29 14:43:55,10.09336,65.09658,0.0,6.53257
379,2024-01-29 14:44:00,10.09978,65.10027,0.0,6.536082
380,2024-01-29 14:44:05,9.816681,65.09589,0.0,6.501204
381,2024-01-29 14:44:10,9.584675,65.10024,0.0,6.430672
382,2024-01-29 14:44:15,9.42939,65.09815,0.0,6.401026
383,2024-01-29 14:44:20,9.49707,65.10023,0.0,6.400031
384,2024-01-29 14:44:25,9.373851,65.09933,0.0,6.304991
385,2024-01-29 14:44:30,9.143705,65.09948,0.0,6.208302
386,2024-01-29 14:44:35,9.121401,65.09807,0.0,6.200281
387,2024-01-29 14:44:40,9.057873,65.09683,0.0,6.200014
388,2024-01-29 14:44:45,9.098608,65.09971,0.0,6.2
389,2024-01-29 14:44:50,9.099955,65.09952,0.0,6.2
390,2024-01-29 14:44:55,9.1,65.10399,0.0,6.2
391,2024-01-29 14:45:01,9.045289,65.10034,0.0,6.2
392,2024-01-29 14:45:06,8.903234,65.09427,0.0,6.300616
393,2024-01-29 14:45:11,8.882276,65.103,0.0,6.396662
394,2024-01-29 14:45:16,8.743189,65.10348,0.0,6.737591
395,2024-01-29 14:45:21,8.637853,65.09933,0.0,7.042433
396,2024-01-29 14:45:26,8.601268,65.101,0.0,7.248029
397,2024-01-29 14:45:31,8.521899,65.09776,0.0,7.367509
398,2024-01-29 14:45:36,8.500725,65.10087,0.0,7.490587
